STT,Stock Code,Organization Name,Sector,First Trading Date,Listing Volume,Stock Volume
70,DTD,CTCP Đầu tư Phát triển Thành Đạt,Xây dựng,16/11/2017,42.908.789,42.908.789
71,DTK,Tổng công ty Điện lực TKV - CTCP,Công nghiệp,25/12/2020,682.767.475,682.767.475
72,DVG,CTCP Tập đoàn Sơn Đại Việt,Công nghiệp,14/1/2021,28.000.000,28.000.000
73,DVM,CTCP Dược liệu Việt Nam,TÀI CHÍNH,19/7/2022,35.650.000,35.650.000
74,DXP,CTCP Cảng Đoạn Xá,Vận tải kho bãi,8/6/2009,29.464.334,29.464.334
75,DZM,CTCP Cơ điện Dzĩ An,Công nghiệp,11/6/2009,5.395.985,5.395.985
76,EBS,"CTCP Sách giáo dục tại TP, Hà Nội","Thông tin, truyền thông và các hoạt động khác",21/12/2006,10.219.484,9.965.584
77,ECI,CTCP Tập đoàn ECI,"Thông tin, truyền thông và các hoạt động khác",16/6/2009,1.860.000,1.760.000
78,EID,CTCP Đầu tư và Phát triển Giáo dục Hà Nội,"Thông tin, truyền thông và các hoạt động khác",11/8/2009,15.000.000,15.000.000
79,EVS,Công ty cổ phần Chứng khoán Everest,Tài chính,26/6/2019,103.000.400,103.000.400
80,FID,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam,"Thương mại và dịch vụ lưu trú, ăn uống",20/5/2015,24.715.958,24.715.958
81,GDW,CTCP Cấp nước Gia Định,Công nghiệp,18/12/2018,9.500.000,9.500.000
82,GIC,CTCP Đầu tư Dịch vụ và Phát triển Xanh,DỊCH VỤ TIÊU DÙNG,6/11/2020,12.120.000,12.120.000
83,GKM,CTCP Khang Minh Group,Công nghiệp,17/7/2017,26.195.240,26.195.240
84,GLT,CTCP Kỹ thuật Điện Toàn Cầu,"Thương mại và dịch vụ lưu trú, ăn uống",26/11/2009,10.049.528,9.350.942
85,GMA,CTCP G-Automobile,VIỄN THÔNG,1/12/2020,19.999.999,19.999.999
86,GMX,CTCP Gạch Ngói Gốm Xây dựng Mỹ Xuân,Công nghiệp,15/9/2011,9.040.697,9.034.451
87,HAD,CTCP Bia Hà Nội - Hải Dương,Công nghiệp,27/10/2009,4.000.000,4.000.000
88,HAT,CTCP Thương mại Bia Hà Nội,"Thương mại và dịch vụ lưu trú, ăn uống",29/10/2010,3.123.000,3.123.000
89,HBS,Công ty Cổ phần Chứng khoán Hòa Bình,Tài chính,16/7/2010,32.999.980,32.999.980
90,HCC,CTCP Bê tông Hòa Cầm - Intimex,Công nghiệp,24/12/2007,6.518.586,6.518.547
91,HCT,CTCP Thương mại-Dịch vụ-Vận tải Xi măng Hải Phòng,Vận tải kho bãi,27/11/2007,2.016.385,2.016.385
92,HDA,CTCP Hãng sơn Đông Á,Công nghiệp,27/12/2010,27.599.967,27.599.967
93,HEV,Công ty Cổ phần Sách Đại học - Dạy nghề,"Thông tin, truyền thông và các hoạt động khác",11/12/2007,1.000.000,1.000.000
94,HGM,Công ty Cổ phần Cơ khí và Khoáng sản Hà Giang,Khai khoáng và Dầu khí,21/12/2009,12.600.000,11.920.720
95,HHC,Công ty cổ phần Bánh kẹo Hải Hà,Công nghiệp,20/11/2007,16.425.000,16.425.000
96,HJS,CTCP Thủy điện Nậm Mu,Công nghiệp,20/12/2006,20.999.900,20.999.900
97,HKT,CTCP Đầu tư Ego Việt Nam,"Thương mại và dịch vụ lưu trú, ăn uống",12/1/2017,6.135.029,6.135.029
98,HLC,CTCP Than Hà Lầm - Vinacomin,Khai khoáng và Dầu khí,5/3/2009,25.415.199,25.415.199
99,HLD,CTCP Đầu tư và phát triển Bất động sản HUDLAND,Hoạt động kinh doanh bất động sản,26/3/2013,20.000.000,20.000.000
100,HMH,CTCP Hải Minh,Vận tải kho bãi,28/7/2010,13.199.847,12.847.647
101,HMR,CTCP Đá Hoàng Mai,Công nghiệp,13/1/2022,5.612.444,5.612.444
102,HOM,CTCP Xi măng VICEM Hoàng Mai,Công nghiệp,9/7/2009,74.769.131,71.997.731
103,HTC,Công ty Cổ phần Thương mại Hóc Môn,"Thương mại và dịch vụ lưu trú, ăn uống",7/5/2010,16.499.993,16.499.993
104,HTP,CTCP In sách giáo khoa Hòa Phát,Công nghiệp,14/12/2006,91.804.980,91.804.980
105,HUT,CTCP Tasco,Xây dựng,11/4/2008,348.631.965,348.631.965
106,HVT,CTCP Hóa chất Việt Trì,Công nghiệp,8/5/2009,10.988.059,10.988.059
107,ICG,CTCP Xây dựng Sông Hồng,Hoạt động kinh doanh bất động sản,21/4/2009,20.000.000,17.572.000
108,IDC,Tổng Công ty IDICO - CTCP,Xây dựng,10/12/2019,329.999.929,329.999.929
109,IDJ,CTCP Đầu tư IDJ Việt Nam,Hoạt động kinh doanh bất động sản,13/9/2010,173.490.193,173.490.193
110,IDV,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,Hoạt động kinh doanh bất động sản,1/6/2010,30.273.276,30.273.276
111,INC,CTCP Tư vấn Đầu tư IDICO,"Hoạt động chuyên môn, khoa học và công nghệ;hành chính và dịch vụ hỗ trợ",14/7/2011,1.800.000,2.000.000
112,INN,CTCP Bao bì và In Nông nghiệp,Công nghiệp,22/1/2010,18.000.000,17.958.000
113,IPA,CTCP Tập đoàn Đầu tư I.P.A,,1/11/2021,213.835.775,213.835.775
114,ITQ,CTCP Tập đoàn Thiên Quang,Công nghiệp,1/10/2012,31.843.305,31.843.305
115,IVS,Công ty Cổ phần Chứng khoán Guotai Junan (Việt Nam),Tài chính,1/8/2011,69.350.000,69.350.000
116,KDM,Công ty Cổ Phần Tập đoàn GCL,,29/3/2016,7.100.000,7.100.000
117,KHS,CTCP Kiên Hùng,"Nông nghiệp, Lâm nghiệp và Thủy sản",26/12/2017,12.090.969,12.090.969
118,KKC,Công ty Cổ phần Tập đoàn Thành Thái,"Thương mại và dịch vụ lưu trú, ăn uống",21/8/2008,5.200.000,5.199.816
119,KLF,CTCP Đầu tư Thương mại và Xuất nhập khẩu CFS,"Thương mại và dịch vụ lưu trú, ăn uống",23/9/2013,165.352.561,165.352.561
120,KMT,CTCP Kim khí Miền Trung,,10/8/2009,9.846.562,9.846.562
121,KSD,CTCP Đầu tư DNA,Công nghiệp,28/4/2010,12.000.000,12.000.000
122,KSF,Công ty cổ phần Tập đoàn Real Tech,Hoạt động kinh doanh bất động sản,6/10/2021,300.000.000,300.000.000
123,KSQ,CTCP CNC Capital Việt Nam,"Thương mại và dịch vụ lưu trú, ăn uống",26/7/2013,30.000.000,30.000.000
124,KST,Công ty Cổ phần KASATI,"Thông tin, truyền thông và các hoạt động khác",29/12/2010,5.992.020,5.992.020
125,KSV,Tổng Công ty Khoáng Sản TKV - CTCP,Khai khoáng và Dầu khí,2/2/2023,200.000.000,200.000.000
126,KTS,CTCP Đường KonTum,Công nghiệp,1/6/2011,5.070.000,5.070.000
127,KTT,Công ty cổ phần Tập đoàn Đầu tư KTT,Xây dựng,28/10/2010,2.955.000,2.955.000
128,L14,CTCP Licogi 14,Xây dựng,13/9/2011,30.859.515,30.859.315
129,L18,CTCP Đầu tư và Xây dựng số 18,Xây dựng,23/4/2008,38.116.528,38.116.528
130,L40,CTCP Đầu tư và Xây dựng 40,Y TẾ,27/1/2021,3.600.000,3.577.000
