STT,Stock Code,Organization Name,Sector,First Trading Date,Listing Volume,Stock Volume
245,SMN,CTCP Sách và Thiết bị Giáo dục Miền Nam,"Thương mại và dịch vụ lưu trú, ăn uống",14/7/2015,4.405.000,4.385.000
246,SMT,CTCP SAMETEL,"Thông tin, truyền thông và các hoạt động khác",30/7/2010,5.467.432,5.467.432
247,SPC,CTCP Bảo vệ Thực vật Sài Gòn,,27/1/2022,10.530.000,10.530.000
248,SPI,CTCP SPIRAL GALAXY,"Thương mại và dịch vụ lưu trú, ăn uống",26/9/2012,16.815.000,16.815.000
249,SRA,CTCP SARA Việt Nam,Hoạt động kinh doanh bất động sản,18/1/2008,43.199.974,43.199.974
250,SSM,CTCP Chế tạo Kết cấu thép VNECO.SSM,Công nghiệp,17/11/2008,5.501.024,4.947.477
251,STC,"CTCP Sách và Thiết bị Trường học tại Tp, HCM","Hoạt động chuyên môn, khoa học và công nghệ;hành chính và dịch vụ hỗ trợ",27/12/2006,5.665.530,5.665.530
252,STP,Công ty cổ phần Công nghiệp Thương mại Sông Đà,Công nghiệp,9/10/2006,8.045.744,8.022.063
253,SVN,CTCP Tập đoàn VEXILLA Việt Nam,Xây dựng,26/7/2011,21.000.000,21.000.000
254,SZB,CTCP Sonadezi Long Bình,Hoạt động kinh doanh bất động sản,20/12/2019,30.000.000,30.000.000
255,TA9,CTCP Xây lắp Thành An 96,Xây dựng,31/7/2015,12.419.787,12.419.787
256,TAR,CTCP Nông nghiệp Công nghệ cao Trung An,"Nông nghiệp, Lâm nghiệp và Thủy sản",20/2/2019,78.319.777,78.319.777
257,TBX,CTCP Xi măng Thái Bình,Công nghiệp,18/11/2008,1.510.280,1.510.280
258,TC6,CTCP Than Cọc Sáu - Vinacomin,Khai khoáng và Dầu khí,26/6/2008,32.496.105,32.496.105
259,TDN,CTCP Than Đèo Nai - Vinacomin,Khai khoáng và Dầu khí,21/11/2008,29.439.097,29.439.097
260,TDT,CTCP Đầu tư và Phát triển TDT,Công nghiệp,18/7/2018,23.896.534,23.896.534
261,TET,CTCP Vải sợi may mặc miền Bắc,Vận tải kho bãi,28/4/2010,5.702.940,5.702.940
262,TFC,Công ty Cổ phần Trang,Công nghiệp,3/12/2015,16.829.994,16.829.994
263,THB,CTCP Bia  Hà Nội - Thanh Hoá,Công nghiệp,19/11/2008,11.424.570,11.424.570
264,THD,CTCP Thaiholdings,"Thương mại và dịch vụ lưu trú, ăn uống",19/6/2020,350.000.000,350.000.000
265,THS,CTCP Thanh Hoa - Sông Đà,"Thương mại và dịch vụ lưu trú, ăn uống",12/11/2013,3.000.000,2.700.000
266,THT,CTCP Than Hà Tu - Vinacomin,Khai khoáng và Dầu khí,24/10/2008,24.569.052,24.569.052
267,TIG,CTCP Tập đoàn Đầu tư Thăng Long,Tài chính,8/10/2010,176.006.485,176.006.485
268,TJC,CTCP Dịch vụ Vận tải và Thương mại,Vận tải kho bãi,17/12/2007,8.600.000,8.600.000
269,TKC,CTCP Xây dựng và Kinh doanh Địa ốc Tân Kỷ,Xây dựng,1/12/2009,15.674.712,15.024.712
270,TKG,CTCP Sản xuất và Thương mại Tùng Khánh,Công nghiệp,29/8/2022,6.315.312,6.315.312
271,TKU,CTCP Công nghiệp Tungkuang,Công nghiệp,26/6/2006,6.596.372,42.619.698
272,TMB,CTCP Kinh doanh than miền Bắc-Vinacomin,Khai khoáng và Dầu khí,16/1/2017,15.000.000,15.000.000
273,TMC,CTCP Thương mại Xuất nhập khẩu Thủ Đức,"Thương mại và dịch vụ lưu trú, ăn uống",8/6/2009,12.400.000,12.400.000
274,TMX,CTCP Vicem Thương mại xi măng,"Thương mại và dịch vụ lưu trú, ăn uống",2/11/2009,6.000.000,6.000.000
275,TNG,CTCP Đầu tư và Thương mại TNG,Công nghiệp,22/11/2007,105.117.758,105.117.758
276,TOT,CÔNG TY CỔ PHẦN TRANSIMEX LOGISTICS,Vận tải kho bãi,20/1/2022,5.495.000,5.495.000
277,TPH,CTCP In Sách giáo khoa tại Tp. Hà Nội,Công nghiệp,15/12/2006,2.095.985,2.095.985
278,TPP,CTCP Tân Phú Việt Nam,Công nghiệp,26/9/2008,45.000.000,45.000.000
279,TSB,CTCP Ắc quy Tia Sáng,Công nghiệp,10/1/2011,6.745.480,6.745.480
280,TTC,CTCP Gạch men Thanh Thanh,Công nghiệp,7/1/2010,5.992.348,5.940.528
281,TTH,CTCP Thương mại và Dịch vụ Tiến Thành,"Thương mại và dịch vụ lưu trú, ăn uống",26/10/2016,37.374.846,37.374.846
282,TTL,Tổng Công ty Thăng Long - CTCP,Xây dựng,18/1/2018,41.908.000,41.853.700
283,TTT,CTCP Du lịch - Thương mại Tây Ninh,Vận tải kho bãi,2/6/2017,4.570.210,4.570.210
284,TTZ,CTCP Đầu tư Xây dựng và Công nghệ Tiến Trung,Vận tải kho bãi,29/1/2013,7.570.444,7.570.444
285,TV3,Công ty cổ phần Tư vấn Xây dựng điện 3,"Hoạt động chuyên môn, khoa học và công nghệ;hành chính và dịch vụ hỗ trợ",1/12/2009,9.517.303,9.517.289
286,TV4,CTCP Tư vấn Xây dựng điện 4,"Hoạt động chuyên môn, khoa học và công nghệ;hành chính và dịch vụ hỗ trợ",22/7/2008,19.846.016,19.781.493
287,TVC,CTCP Tập đoàn Quản lý Tài sản Trí Việt,"Hoạt động chuyên môn, khoa học và công nghệ;hành chính và dịch vụ hỗ trợ",23/9/2014,118.610.670,118.610.670
288,TVD,CTCP Than Vàng Danh - Vinacomin,Khai khoáng và Dầu khí,11/1/2011,44.962.864,44.962.864
289,TXM,CTCP Vicem Thạch cao Xi măng,"Thương mại và dịch vụ lưu trú, ăn uống",11/12/2006,7.000.000,7.000.000
290,UNI,CTCP ĐẦU TƯ VÀ PHÁT TRIỂN SAO MAI VIỆT,Xây dựng,8/6/2009,15.617.632,15.617.632
291,V12,Công ty cổ phần xây dựng số 12,Xây dựng,5/1/2010,11.636.000,11.636.000
292,V21,CTCP Vinaconex 21,Xây dựng,21/4/2010,11.999.789,11.999.789
293,VBC,CTCP Nhựa Bao bì Vinh,Công nghiệp,17/3/2010,7.499.972,7.499.960
294,VC1,Công ty cổ phần xây dựng số 1,,14/5/2009,12.000.000,12.000.000
295,VC2,Công ty cổ phần Đầu tư và Xây dựng VINA2,Xây dựng,11/12/2006,47.199.410,47.199.410
296,VC3,Công ty Cổ phần Tập đoàn Nam Mê Kông,Hoạt động kinh doanh bất động sản,13/12/2007,100.217.588,100.217.588
297,VC6,Công ty cổ phần Xây dựng và đầu tư Visicons,Xây dựng,28/1/2008,8.799.882,8.799.882
298,VC7,CTCP TẬP ĐOÀN BGI,Xây dựng,28/12/2007,48.045.592,48.045.278
299,VC9,Công ty cổ phần xây dựng số 9- VC9,Xây dựng,5/11/2009,12.000.000,11.695.200
300,VCC,CTCP Vinaconex 25,Xây dựng,5/2/2009,12.000.000,12.000.000
301,VCM,CTCP Nhân lực và Thương mại Vinaconex,"Hoạt động chuyên môn, khoa học và công nghệ;hành chính và dịch vụ hỗ trợ",11/5/2010,3.000.000,3.000.000
302,VCS,CTCP VICOSTONE,Công nghiệp,17/12/2007,160.000.000,160.000.000
303,VDL,CTCP Thực phẩm Lâm Đồng,Công nghiệp,27/11/2007,14.657.150,14.657.150
304,VE1,CTCP Xây dựng điện VNECO 1,Xây dựng,4/9/2008,6.000.000,5.931.280
305,VE2,CTCP Xây dựng điện VNECO 2,Xây dựng,26/7/2010,2.158.880,2.098.080
306,VE3,CTCP Xây dựng điện VNECO3,Xây dựng,30/6/2010,1.319.710,1.319.710
307,VE4,CTCP Xây dựng Điện Vneco 4,Xây dựng,16/10/2012,1.028.000,1.028.000
308,VE8,CTCP Xây dựng Điện Vneco 8,Xây dựng,24/7/2012,1.800.000,1.800.000
309,VGP,CTCP Cảng Rau Quả,Vận tải kho bãi,12/6/2009,8.214.692,7.825.922
310,VGS,Công ty Cổ Phần Ống thép Việt Đức VGPIPE,Công nghiệp,4/12/2008,48.427.921,48.427.921
311,VHE,CTCP Dược liệu và Thực phẩm Việt Nam,Công nghiệp,14/1/2019,33.140.000,33.139.996
312,VHL,CTCP Viglacera Hạ Long,Công nghiệp,12/2/2009,25.000.000,25.000.000
313,VIF,Tổng công ty Lâm nghiệp Việt Nam- CTCP,"Nông nghiệp, Lâm nghiệp và Thủy sản",3/2/2020,350.000.000,350.000.000
314,VIG,Công ty cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,Tài chính,1/12/2009,45.133.300,45.133.300
315,VIT,CÔNG TY CỔ PHẦN VIGLACERA TIÊN SƠN,Công nghiệp,3/11/2009,50.000.000,49.999.664
316,VLA,CTCP Đầu tư và phát triển công nghệ Văn Lang,"Thông tin, truyền thông và các hoạt động khác",4/8/2010,1.997.998,1.997.998
317,VMC,Công ty cổ phần VIMECO,Xây dựng,11/12/2006,21.599.583,21.599.583
318,VMS,Công ty cổ phần Phát triển Hàng hải,Vận tải kho bãi,20/10/2015,9.000.000,9.000.000
319,VNC,CTCP Tập đoàn Vinacontrol,"Hoạt động chuyên môn, khoa học và công nghệ;hành chính và dịch vụ hỗ trợ",21/12/2006,10.499.955,10.499.560
320,VNF,CTCP Vinafreight,Vận tải kho bãi,1/12/2010,31.715.880,31.700.380
321,VNR,Tổng CTCP Tái Bảo hiểm Quốc gia Việt Nam,Tài chính,13/3/2006,150.737.130,150.737.130
322,VNT,CTCP Giao nhận Vận tải Ngoại thương,Vận tải kho bãi,14/8/2009,16.699.497,16.644.097
323,VSA,CTCP Đại lý Hàng hải Việt Nam,Vận tải kho bãi,22/12/2015,14.096.486,14.096.486
324,VSM,CTCP Container Miền Trung,Vận tải kho bãi,17/7/2017,3.354.996,3.354.996
325,VTC,CTCP Viễn thông VTC,"Thông tin, truyền thông và các hoạt động khác",8/6/2009,4.534.696,4.529.143
326,VTH,Công ty Cổ phần Dây cáp điện Việt Thái,Công nghiệp,29/10/2014,7.899.989,7.899.989
327,VTJ,CTCP Thương mại và Đầu tư Vi na ta ba,Công nghiệp,26/4/2017,11.400.000,11.400.000
328,VTV,Công ty Cổ phần Năng lượng và Môi trường VICEM,,18/12/2006,31.199.825,31.199.825
329,VTZ,CTCP Sản xuất và Thương mại Nhựa Việt Thành,Công nghiệp,25/11/2021,23.000.000,23.000.000
330,WCS,CTCP Bến xe Miền Tây,Vận tải kho bãi,17/9/2010,2.500.000,2.500.000
331,WSS,Công ty Cổ phần Chứng khoán Phố Wall,Tài chính,15/12/2009,50.300.000,50.300.000
332,X20,CTCP X20,Công nghiệp,5/2/2018,17.250.000,17.250.000
